Light,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.024426841,0.009851986,0.012281129,0.014710271,0.022042837,0.029465681,0.036798247,0.083313064,0.100542756,0.061270227,0.289256861,0.306486552
Sensor2,0.024818552,0.00993661,0.014973837,0.014927889,0.025002343,0.029993622,0.039838337,0.087324409,0.102298246,0.057376735,0.291966849,0.314496526
Sensor3,0.026738323,0.009718941,0.019572705,0.014600882,0.021991205,0.029336587,0.036547146,0.090293438,0.112239703,0.05607491,0.292781638,0.307652167
Sensor4,0.021904365,0.012209127,0.012254167,0.014632937,0.024418254,0.034248612,0.036627381,0.095339287,0.117423811,0.061180755,0.291045639,0.308282544
Sensor5,0.024543707,0.007335849,0.014808014,0.017253297,0.027125306,0.032106749,0.039488037,0.103610658,0.123400115,0.059141178,0.286242828,0.303587003
Sensor6,0.026592689,0.012116029,0.012116029,0.014521356,0.024276755,0.034032153,0.038798111,0.109223048,0.131094475,0.055814188,0.288915729,0.298626431
Sensor7,0.012281129,0.01475541,0.012281129,0.019613695,0.029465681,0.031849685,0.03922739,0.122540454,0.137295864,0.053847383,0.27450145,0.286917996
Sensor8,0.009982558,0.012501171,0.015019785,0.019965116,0.029947674,0.037411619,0.042402898,0.129727307,0.149692423,0.057330787,0.269529067,0.282076186
Sensor9,0.012227323,0.012227323,0.017109264,0.021946264,0.031755087,0.039010587,0.043892528,0.141486408,0.153713731,0.053701351,0.256234492,0.261251257
Sensor10,0.012254167,0.014723016,0.014677976,0.021994445,0.031824802,0.036672421,0.046457739,0.154051192,0.1614127,0.058666866,0.251904368,0.247101789
Sensor11,0.012317292,0.014853453,0.014808014,0.024725462,0.037042754,0.044424041,0.046869324,0.165287996,0.172714722,0.054250612,0.234392061,0.234528377
Sensor12,0.009710702,0.017016076,0.017016076,0.021826731,0.038842808,0.046103486,0.046103486,0.177108568,0.186908663,0.055769491,0.228112101,0.22588556
Sensor13,0.009806847,0.01223599,0.017184552,0.024517119,0.03922739,0.05146338,0.044085675,0.18385582,0.203469515,0.051508519,0.203469515,0.223173488
Sensor14,0.004991279,0.014973837,0.01749245,0.022437782,0.044967459,0.052385456,0.044875563,0.194613934,0.217097663,0.047440124,0.197132547,0.209679666
Sensor15,0.009763882,0.019527764,0.019527764,0.024409705,0.04881941,0.056119851,0.048774469,0.209878523,0.222105846,0.048774469,0.180586877,0.1855587
Sensor16,0.007406548,0.017101786,0.019570635,0.024463294,0.048971628,0.063559525,0.048926588,0.215231947,0.237271432,0.046412699,0.166305359,0.181073415
