Light,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
Sensor1,0.115207888,0.034323966,0.019613695,0.277020871,0.049034237,0.019613695,0.095594193,0.031849685,0.019613695,0.029420542,0.017139414,0.014710271
Sensor2,0.122263362,0.037457566,0.019965116,0.289494183,0.049866842,0.024956395,0.094788354,0.034938953,0.017446503,0.027429061,0.017446503,0.014973837
Sensor3,0.119630026,0.039055528,0.019527764,0.295334962,0.056119851,0.024454646,0.097638821,0.029291646,0.019482823,0.029291646,0.019482823,0.012182382
Sensor4,0.12227143,0.04161012,0.019570635,0.308237504,0.058711906,0.024418254,0.100276985,0.034203572,0.021994445,0.026932143,0.019570635,0.014677976
Sensor5,0.123400115,0.041978759,0.019744018,0.325776304,0.06416806,0.024680023,0.101165375,0.036997315,0.019744018,0.029570589,0.017253297,0.012317292
Sensor6,0.126194428,0.043698158,0.024276755,0.330163864,0.067974913,0.024276755,0.101917673,0.038842808,0.019376707,0.026637386,0.01697138,0.01697138
Sensor7,0.127443878,0.046605095,0.022042837,0.34323966,0.073551356,0.026946261,0.105446179,0.041656532,0.019613695,0.0269914,0.022087976,0.017229691
Sensor8,0.129773254,0.049958738,0.024956395,0.344352304,0.079860464,0.027520956,0.102298246,0.044875563,0.022483729,0.027475008,0.019965116,0.017446503
Sensor9,0.126975408,0.056164792,0.024409705,0.346572872,0.090293438,0.031755087,0.100102262,0.04881941,0.021946264,0.026828205,0.021901323,0.014645823
Sensor10,0.127209129,0.056288096,0.024463294,0.349847624,0.097853176,0.029355953,0.105169644,0.046412699,0.022039484,0.026887103,0.021994445,0.019615675
Sensor11,0.12833612,0.061722777,0.024680023,0.345474884,0.106146819,0.032106749,0.106146819,0.049314607,0.024634584,0.027170745,0.022189301,0.017298736
Sensor12,0.128689148,0.063119562,0.026682082,0.339829869,0.116573119,0.038887504,0.10196237,0.050958837,0.024276755,0.026726778,0.021871427,0.017016076
Sensor13,0.122540454,0.066128512,0.029465681,0.330958532,0.129963298,0.034323966,0.097978197,0.053892522,0.024517119,0.0269914,0.024517119,0.019568556
Sensor14,0.119744749,0.069877906,0.029947674,0.32196047,0.142274426,0.037365671,0.094834301,0.057376735,0.027429061,0.024956395,0.024910447,0.019965116
Sensor15,0.117121644,0.078111056,0.031710146,0.302680344,0.153803613,0.041474028,0.092711938,0.058583292,0.029246705,0.024409705,0.024364764,0.019527764
Sensor16,0.112531152,0.075768652,0.036762501,0.291135718,0.168819248,0.043988889,0.092915477,0.066028374,0.026932143,0.024463294,0.026932143,0.017146826
Sensor17,0.10610138,0.081421357,0.032061311,0.273925536,0.182677609,0.046914763,0.088848083,0.071549347,0.029661466,0.024634584,0.027125306,0.019744018
Sensor18,0.104367697,0.08249627,0.03643748,0.2573336,0.201608805,0.048553509,0.087396317,0.072785568,0.031537433,0.026682082,0.029176802,0.021826731
Sensor19,0.095639332,0.085787346,0.039272529,0.235409477,0.22560263,0.05146338,0.083313064,0.075980498,0.034323966,0.024562258,0.024517119,0.022042837
Sensor20,0.09982558,0.09226974,0.039884284,0.22213489,0.242191901,0.059895348,0.082379078,0.077387799,0.037411619,0.027475008,0.027520956,0.022437782
Sensor21,0.090293438,0.100057321,0.04398241,0.202623023,0.261251257,0.063465233,0.078021174,0.080529556,0.039055528,0.029291646,0.026873146,0.024409705
Sensor22,0.088112898,0.097853176,0.046502778,0.188389883,0.269141273,0.066028374,0.073389882,0.08313016,0.04156508,0.022039484,0.026887103,0.021994445
Sensor23,0.081466795,0.103656097,0.046914763,0.172760161,0.296251154,0.071549347,0.069058626,0.088802644,0.04193332,0.022189301,0.027125306,0.024589145
Sensor24,0.080135639,0.104367697,0.05340886,0.15537123,0.301121151,0.080090942,0.067930217,0.089756948,0.046103486,0.029132106,0.029087409,0.024232058
Sensor25,0.071122213,0.105446179,0.053937661,0.142199288,0.326100247,0.090735908,0.063744508,0.095594193,0.046605095,0.02447198,0.026946261,0.026946261
Sensor26,0.067405241,0.107335473,0.054858122,0.129773254,0.32951631,0.097306967,0.062413962,0.094788354,0.05229356,0.022437782,0.03242034,0.024910447
Sensor27,0.061046733,0.109866144,0.061001792,0.117211526,0.334480372,0.107402703,0.058583292,0.095130438,0.056164792,0.019527764,0.029291646,0.029291646
Sensor28,0.061180755,0.110107343,0.063604564,0.105169644,0.340152386,0.115000002,0.053819247,0.097808136,0.056243056,0.021994445,0.029310913,0.026887103
Sensor29,0.056786772,0.111082823,0.066613343,0.101210814,0.343120479,0.123354676,0.05175989,0.096183932,0.061722777,0.017298736,0.029616028,0.029616028
Sensor30,0.05340886,0.109223048,0.07038024,0.092251668,0.335153304,0.135949826,0.048553509,0.097017626,0.063119562,0.019421404,0.029087409,0.029132106
Sensor31,0.051553657,0.110349603,0.07845478,0.083358203,0.335997372,0.152006135,0.046559956,0.098068474,0.066173651,0.017184552,0.02951082,0.026946261
Sensor32,0.04991279,0.109762191,0.079814517,0.079860464,0.32951631,0.16466626,0.042448845,0.094788354,0.069786011,0.019965116,0.029947674,0.027475008
Sensor33,0.04640091,0.112284644,0.090293438,0.068347174,0.317416049,0.183050318,0.039055528,0.092711938,0.075692557,0.017109264,0.029291646,0.029291646
Sensor34,0.044078969,0.110107343,0.092960517,0.063559525,0.303389885,0.195661312,0.03914127,0.090491668,0.075813691,0.017146826,0.031824802,0.026887103
Sensor35,0.039533476,0.103656097,0.09622937,0.056741334,0.286333706,0.214693481,0.034552032,0.088757205,0.083912078,0.019744018,0.029616028,0.029616028
Sensor36,0.041292831,0.102007066,0.099557042,0.05340886,0.274349676,0.233012149,0.033987457,0.087351621,0.087351621,0.0194661,0.026726778,0.029132106
Sensor37,0.036798247,0.098068474,0.105401041,0.051508519,0.257452315,0.2623106,0.031894824,0.083267925,0.088261627,0.019613695,0.0269914,0.031849685
Sensor38,0.037457566,0.102390141,0.112280804,0.044921511,0.242100006,0.281938343,0.029901726,0.08233313,0.092407583,0.017446503,0.027429061,0.029901726
Sensor39,0.031710146,0.09275688,0.119585085,0.036637028,0.217313788,0.305098844,0.024364764,0.075647615,0.09517538,0.017064323,0.024454646,0.029291646
Sensor40,0.029355953,0.085644049,0.114954962,0.03914127,0.205536709,0.320401591,0.026887103,0.075768652,0.102745835,0.019570635,0.026932143,0.031824802
Sensor41,0.027125306,0.081421357,0.123400115,0.036997315,0.190058897,0.345474884,0.024634584,0.069058626,0.106055941,0.017253297,0.027125306,0.029616028
Sensor42,0.024276755,0.077685615,0.126239124,0.033987457,0.174792634,0.359251273,0.024276755,0.06788552,0.109223048,0.019421404,0.029132106,0.033987457
Sensor43,0.026946261,0.07845478,0.134821583,0.034323966,0.156954698,0.392228759,0.02447198,0.066173651,0.112778746,0.014710271,0.029420542,0.034323966
Sensor44,0.027475008,0.072350572,0.137145304,0.032466287,0.149784318,0.401729039,0.024956395,0.067359293,0.117272083,0.017446503,0.029947674,0.034984901
Sensor45,0.021991205,0.070765674,0.144039731,0.026828205,0.134185967,0.409993164,0.021946264,0.060956851,0.114748085,0.014555941,0.026828205,0.031710146
Sensor46,0.019615675,0.068497223,0.139418256,0.029310913,0.124785319,0.413362108,0.024463294,0.061180755,0.119847621,0.014677976,0.026932143,0.034248612
Sensor47,0.02223474,0.06416806,0.143098695,0.024680023,0.113528106,0.424405519,0.019653141,0.056695895,0.120909393,0.014762575,0.024680023,0.034552032
Sensor48,0.021871427,0.063119562,0.143210504,0.026682082,0.106817721,0.427226186,0.021826731,0.058219515,0.121339077,0.014521356,0.026726778,0.03643748
Sensor49,0.017184552,0.058841085,0.139725007,0.0269914,0.100542756,0.429027006,0.022087976,0.053937661,0.124969596,0.014710271,0.026946261,0.031939963
Sensor50,0.020011064,0.057376735,0.139709865,0.024956395,0.092315688,0.426685434,0.019919168,0.052385456,0.124781975,0.014973837,0.029901726,0.037457566
Sensor51,0.019527764,0.048864351,0.143949849,0.021946264,0.083037939,0.414920046,0.019482823,0.04881941,0.122048526,0.017064323,0.026873146,0.036637028
Sensor52,0.019615675,0.051395437,0.139373216,0.021994445,0.08075139,0.40604564,0.019570635,0.046457739,0.119847621,0.014677976,0.024463294,0.036672421
Sensor53,0.019744018,0.049360046,0.135717407,0.02223474,0.078976074,0.392344208,0.022189301,0.044378603,0.118418672,0.014808014,0.027125306,0.034552032
Sensor54,0.0194661,0.051003533,0.13590513,0.019421404,0.072830264,0.37626735,0.017016076,0.043653462,0.118889053,0.014521356,0.026682082,0.036392784
