Step,Power,Sensor26,Sensor32,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,2490.0,229,224,200,200,200,260,200,200,200,200,200,200,200,230
1,2690.0,244,242,200,200,260,300,240,200,200,200,200,200,250,240
2,2840.0,258,252,220,220,290,230,240,240,200,220,200,220,300,260
3,2840.0,258,252,220,220,290,230,240,240,200,220,200,220,300,260
4,2840.0,258,252,220,220,290,230,240,240,200,220,200,220,300,260
5,2870.0,262,259,200,200,290,220,290,200,240,200,200,220,350,260
6,2870.0,262,259,200,200,290,220,290,200,240,200,200,220,350,260
7,2870.0,264,268,240,200,240,220,350,200,200,200,200,200,320,300
8,2950.0,278,278,240,210,280,200,350,200,200,240,200,250,330,250
9,2980.0,299,298,200,200,260,210,380,260,200,290,200,210,280,290
10,2980.0,299,298,200,200,260,210,380,260,200,290,200,210,280,290
11,2980.0,299,298,200,200,260,210,380,260,200,290,200,210,280,290
12,2950.0,308,301,200,200,220,270,350,200,260,330,230,200,200,290
13,2880.0,315,310,200,200,200,200,410,200,250,360,200,200,200,260
14,2940.0,318,308,240,200,220,200,370,200,210,380,220,250,240,210
15,2940.0,318,308,240,200,220,200,370,200,210,380,220,250,240,210
16,3000.0,324,318,210,200,280,200,410,220,210,380,200,210,240,240
17,3150.0,330,321,200,260,310,250,340,280,200,390,250,240,200,230
18,3230.0,341,332,220,320,240,200,370,260,250,390,290,260,200,230
19,3230.0,341,332,220,320,240,200,370,260,250,390,290,260,200,230
20,3230.0,341,332,220,320,240,200,370,260,250,390,290,260,200,230
21,3230.0,341,332,220,320,240,200,370,260,250,390,290,260,200,230
22,3300.0,354,342,280,280,230,200,390,240,310,420,250,300,200,200
23,3300.0,354,342,280,280,230,200,390,240,310,420,250,300,200,200
24,3300.0,354,342,280,280,230,200,390,240,310,420,250,300,200,200
25,3300.0,354,342,280,280,230,200,390,240,310,420,250,300,200,200
26,3390.0,358,350,290,260,270,220,410,270,230,420,270,300,200,250
27,3390.0,358,350,290,260,270,220,410,270,230,420,270,300,200,250
28,3390.0,358,350,290,260,270,220,410,270,230,420,270,300,200,250
29,3500.0,362,363,270,270,250,270,470,270,250,380,280,280,230,280
30,3650.0,381,373,270,320,300,250,450,230,310,440,220,340,260,260
31,3650.0,381,373,270,320,300,250,450,230,310,440,220,340,260,260
32,3650.0,381,373,270,320,300,250,450,230,310,440,220,340,260,260
33,3650.0,381,373,270,320,300,250,450,230,310,440,220,340,260,260
34,3650.0,381,373,270,320,300,250,450,230,310,440,220,340,260,260
35,3570.0,395,384,270,300,240,260,480,200,320,500,210,360,210,220
36,3570.0,395,384,270,300,240,260,480,200,320,500,210,360,210,220
37,3570.0,395,384,270,300,240,260,480,200,320,500,210,360,210,220
38,3570.0,395,384,270,300,240,260,480,200,320,500,210,360,210,220
39,3450.0,398,377,230,310,270,240,420,200,300,560,200,310,200,210
40,3450.0,398,377,230,310,270,240,420,200,300,560,200,310,200,210
41,3450.0,398,377,230,310,270,240,420,200,300,560,200,310,200,210
42,3450.0,398,377,230,310,270,240,420,200,300,560,200,310,200,210
43,3380.0,405,372,200,230,220,250,360,250,310,590,220,340,200,210
44,3580.0,426,379,260,270,220,200,310,210,320,640,280,390,210,270
45,3580.0,426,379,260,270,220,200,310,210,320,640,280,390,210,270
46,3580.0,426,379,260,270,220,200,310,210,320,640,280,390,210,270
47,3570.0,427,382,230,320,240,200,310,240,320,660,230,390,200,230
48,3580.0,433,385,220,320,200,220,310,260,260,690,200,450,200,250
49,3580.0,433,385,220,320,200,220,310,260,260,690,200,450,200,250
0,3580,433,385,220,320,200,220,310,260,260,690,200,450,200,250
0,3594,443,393,206,300,200,215,322,257,273,717,200,468,200,232
1,3585,441,390,220,300,200,220,310,257,260,717,200,450,200,250
1,3536,440,388,222,282,200,200,306,249,265,724,202,445,200,237
2,3536,440,388,222,282,200,200,306,249,265,724,202,445,200,237
2,3503,441,386,202,257,200,200,294,259,273,732,200,463,200,220
3,3503,441,386,202,257,200,200,294,259,273,732,200,463,200,220
3,3412,435,376,200,234,200,200,274,236,273,732,204,449,200,209
4,3412,435,376,200,234,200,200,274,236,273,732,204,449,200,209
4,3375,432,373,200,224,200,200,268,222,275,732,204,435,200,211
5,3375,432,373,200,224,200,200,268,222,275,732,204,435,200,211
5,3444,455,386,200,222,200,200,249,224,284,805,200,449,200,209
6,3465,457,390,200,224,200,200,268,222,284,805,200,449,200,211
6,3468,468,396,200,222,200,200,263,208,284,845,200,444,200,200
7,3492,469,398,200,224,200,200,268,208,284,845,200,449,200,211
7,3496,479,403,200,204,200,200,265,200,287,879,202,457,200,200
8,3492,469,398,200,224,200,200,268,208,284,845,200,449,200,211
8,3467,464,394,200,215,200,200,271,200,284,828,204,457,200,205
9,3467,464,394,200,215,200,200,271,200,284,828,204,457,200,205
9,3460,462,390,200,211,200,200,252,200,292,828,208,467,200,200
10,3465,463,391,200,211,200,200,252,200,292,828,208,467,200,205
10,3519,480,403,200,207,200,200,257,200,298,878,210,462,200,205
11,3465,463,391,200,211,200,200,252,200,292,828,208,467,200,205
11,3512,472,397,200,209,202,200,252,200,298,853,205,490,200,200
12,3465,463,391,200,211,200,200,252,200,292,828,208,467,200,205
12,3479,473,397,200,205,202,200,247,200,298,861,212,453,200,200
