Step,Power,Sensor26,Sensor32,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12
0,2590.0,237,228,200,230,210,200,200,200,230,200,210,200,260,250
1,2590.0,237,228,200,230,210,200,200,200,230,200,210,200,260,250
2,2810.0,253,242,230,280,200,200,200,230,200,200,270,200,310,290
3,2810.0,253,242,230,280,200,200,200,230,200,200,270,200,310,290
4,2890.0,265,255,200,260,210,200,220,270,210,200,300,210,360,250
5,2890.0,265,255,200,260,210,200,220,270,210,200,300,210,360,250
6,2890.0,265,255,200,260,210,200,220,270,210,200,300,210,360,250
7,2890.0,265,255,200,260,210,200,220,270,210,200,300,210,360,250
8,3040.0,272,263,250,230,270,210,220,270,250,200,320,250,300,270
9,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
10,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
11,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
12,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
13,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
14,2890.0,272,268,240,200,290,250,280,220,200,240,270,200,240,260
15,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
16,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
17,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
18,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
19,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
20,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
21,3050.0,290,283,260,200,310,240,280,270,200,280,250,220,220,320
22,3290.0,310,305,270,220,330,300,290,320,200,280,310,200,280,290
23,3290.0,310,305,270,220,330,300,290,320,200,280,310,200,280,290
24,3290.0,310,305,270,220,330,300,290,320,200,280,310,200,280,290
25,3230.0,315,304,310,200,320,230,310,240,200,310,310,200,340,260
26,3330.0,331,324,320,200,340,230,370,260,230,330,270,200,380,200
27,3330.0,331,324,320,200,340,230,370,260,230,330,270,200,380,200
28,3380.0,345,335,300,200,290,290,350,320,230,360,280,200,360,200
29,3380.0,345,335,300,200,290,290,350,320,230,360,280,200,360,200
30,3380.0,345,335,300,200,290,290,350,320,230,360,280,200,360,200
31,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
32,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
33,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
34,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
35,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
36,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
37,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
38,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
39,3350.0,346,329,330,200,270,270,320,300,200,390,250,200,420,200
40,3400.0,355,327,320,200,200,230,260,360,200,400,310,250,470,200
41,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
42,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
43,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
44,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
45,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
46,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
47,3310.0,358,316,300,220,200,200,200,280,200,440,350,200,520,200
48,3380.0,378,329,270,250,200,240,200,210,220,500,360,200,510,220
49,3380.0,378,329,270,250,200,240,200,210,220,500,360,200,510,220
0,3380,378,329,270,250,200,240,200,210,220,500,360,200,510,220
0,3416,387,338,272,252,210,244,214,214,202,520,381,200,499,204
1,3411,387,338,270,250,210,244,214,214,202,520,381,200,499,204
1,3417,398,346,264,245,207,247,218,216,200,556,396,200,464,200
2,3432,398,347,270,250,207,247,218,216,200,556,396,200,464,204
2,3442,415,359,259,235,209,239,233,209,200,612,396,200,446,200
3,3472,416,361,270,250,209,239,233,209,200,612,396,200,446,204
3,3520,436,377,264,245,207,251,247,218,200,673,396,200,414,200
4,3502,433,373,270,250,209,239,233,209,200,673,396,200,414,204
4,3509,449,384,243,242,203,244,245,200,202,720,396,200,410,200
5,3547,449,383,270,250,209,239,233,209,202,720,396,200,410,204
5,3522,457,390,251,227,212,247,240,216,200,749,408,200,369,200
6,3477,446,381,251,227,209,239,233,216,200,720,408,200,369,200
6,3488,464,394,231,207,207,256,240,205,200,778,429,200,332,200
7,3477,446,381,251,227,209,239,233,216,200,720,408,200,369,200
7,3512,462,393,246,222,207,249,240,200,200,770,425,200,347,202
8,3477,446,381,251,227,209,239,233,216,200,720,408,200,369,200
8,3477,450,385,233,218,207,244,242,205,200,727,429,202,366,200
9,3460,447,381,233,218,209,244,233,216,200,727,408,202,366,200
9,3431,459,389,210,218,200,247,235,203,200,778,404,200,333,200
10,3428,459,388,210,218,200,247,233,203,200,778,404,200,333,200
10,3492,484,406,200,211,200,254,233,200,200,856,412,200,323,200
11,3428,459,388,210,218,200,247,233,203,200,778,404,200,333,200
11,3449,470,395,203,203,200,256,228,200,200,809,428,202,316,200
12,3435,459,389,210,218,200,256,233,200,200,778,404,200,333,200
12,3480,484,405,200,200,200,249,228,202,200,856,433,200,309,200
13,3435,459,389,210,218,200,256,233,200,200,778,404,200,333,200
13,3457,474,399,205,203,202,249,233,202,200,825,424,200,309,202
14,3451,461,391,205,218,200,256,233,200,200,778,424,200,333,200
14,3423,456,387,200,214,200,259,235,200,200,762,424,200,326,200
15,3439,461,391,200,214,200,259,235,200,200,778,424,200,326,200
15,3404,454,387,202,214,200,254,240,200,200,762,424,202,303,200
16,3404,454,387,202,214,200,254,240,200,200,762,424,202,303,200
16,3415,464,392,200,200,200,244,233,200,200,793,437,200,306,200
17,3417,456,388,202,214,200,254,240,200,200,762,437,202,303,200
17,3456,474,401,200,214,200,236,243,200,200,816,463,200,282,200
18,3417,456,388,202,214,200,254,240,200,200,762,437,202,303,200
18,3476,482,404,200,209,200,231,233,200,200,839,477,200,285,200
19,3392,455,386,200,214,200,231,240,200,200,762,437,202,303,200
19,3412,469,396,200,205,200,224,238,200,200,808,459,200,276,200
20,3438,470,396,200,214,200,231,240,200,200,808,437,202,303,200
20,3445,472,399,202,209,200,229,245,200,200,808,468,200,282,200
21,3468,473,400,200,214,200,231,240,200,200,808,468,202,303,200
21,3489,478,401,200,207,200,229,228,200,200,816,501,200,306,200
22,3454,471,396,200,214,200,229,228,200,200,808,468,202,303,200
22,3471,484,403,200,216,200,231,212,200,200,857,472,200,279,202
23,3438,469,393,200,214,200,229,212,200,200,808,468,202,303,200
23,3429,466,391,200,200,200,229,212,200,200,792,501,200,294,200
24,3429,466,391,200,200,200,229,212,200,200,792,501,200,294,200
24,3446,475,395,200,200,200,236,200,200,200,824,501,200,285,200
25,3436,467,392,200,200,200,236,212,200,200,792,501,200,294,200
25,3467,479,399,200,200,200,238,200,200,200,832,526,200,270,200
26,3436,467,392,200,200,200,236,212,200,200,792,501,200,294,200
26,3479,484,403,200,200,200,238,210,200,200,848,501,200,279,202
27,3439,467,392,200,200,200,238,212,200,200,792,501,200,294,200
27,3465,472,394,200,200,200,233,201,206,202,800,536,200,285,200
28,3434,466,390,200,200,200,238,201,206,200,792,501,200,294,200
28,3468,475,397,200,200,200,243,200,206,200,816,526,200,276,200
29,3434,466,390,200,200,200,238,201,206,200,792,501,200,294,200
29,3475,476,399,200,200,200,252,208,203,200,816,526,200,267,200
30,3432,466,390,200,200,200,238,201,203,200,792,501,200,294,200
30,3449,464,389,200,200,200,255,203,201,212,776,511,200,288,200
31,3457,464,390,200,200,200,255,203,203,212,776,511,200,294,200
31,3469,471,394,200,200,200,249,200,201,226,799,511,200,279,200
32,3463,465,390,200,200,200,249,200,203,226,776,511,200,294,200
32,3468,464,389,200,200,200,227,200,200,238,761,546,200,294,200
33,3458,461,387,200,200,200,249,200,203,238,761,511,200,294,200
33,3507,477,398,200,200,200,252,200,200,233,806,521,200,285,208
34,3458,461,387,200,200,200,249,200,203,238,761,511,200,294,200
34,3452,470,392,200,200,200,229,200,200,226,799,500,200,294,202
35,3452,470,392,200,200,200,229,200,200,226,799,500,200,294,202
35,3429,463,387,200,200,200,229,200,200,214,783,500,202,288,210
36,3429,463,387,200,200,200,229,200,200,214,783,500,202,288,210
36,3369,457,382,200,200,200,213,200,200,214,775,495,204,259,205
37,3369,457,382,200,200,200,213,200,200,214,775,495,204,259,205
37,3423,468,390,202,200,200,200,200,200,212,798,535,200,254,220
38,3423,462,387,200,200,200,213,200,200,214,775,535,204,259,220
38,3409,463,387,200,200,202,200,200,200,200,783,540,200,254,229
39,3409,463,387,200,200,202,200,200,200,200,783,540,200,254,229
39,3427,466,389,200,200,214,200,200,200,200,790,540,200,254,226
40,3421,463,387,200,200,214,200,200,200,200,783,540,200,254,229
40,3419,468,391,200,200,209,200,200,200,200,806,530,200,234,238
41,3419,468,391,200,200,209,200,200,200,200,806,530,200,234,238
41,3464,480,399,200,200,205,200,202,202,200,838,540,200,222,252
42,3414,468,390,200,200,205,200,200,200,200,806,530,200,234,238
42,3461,484,401,200,200,200,200,200,200,202,846,561,202,215,233
43,3410,468,390,200,200,205,200,200,200,200,806,530,200,234,233
43,3442,478,397,202,200,207,200,200,200,200,838,535,200,213,245
44,3410,468,390,200,200,205,200,200,200,200,806,530,200,234,233
44,3407,466,389,202,200,201,200,200,200,200,798,535,200,236,233
45,3407,466,389,202,200,201,200,200,200,200,798,535,200,236,233
45,3412,468,390,200,200,201,200,200,200,200,806,524,200,236,242
46,3406,465,388,202,200,201,200,200,200,200,798,524,200,236,242
46,3492,485,403,200,200,200,200,200,200,200,846,561,200,224,259
47,3406,465,388,202,200,201,200,200,200,200,798,524,200,236,242
47,3405,475,395,200,200,200,200,200,200,200,838,514,200,215,237
48,3365,462,386,200,200,200,200,200,200,200,798,514,200,215,237
48,3385,465,388,200,200,202,200,200,200,200,806,519,200,215,242
49,3370,462,386,200,200,200,200,200,200,200,798,514,200,215,242
